Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2011/12/31,4.465,4.4825,4.465,4.4825,23.82946953,106.3300844,4.471602875
2012/1/1,4.806666667,4.806666667,4.806666667,4.806666667,7.200666667,35.25972,4.806666667
2012/1/2,5,5,5,5,19.048,95.24,5
2012/1/3,5.2525,5.2525,5.2525,5.2525,11.00466011,58.10065119,5.2525
2012/1/4,5.2,5.223333333,5.2,5.223333333,11.91480669,63.1195775,5.208159314
2012/1/5,6.281428571,6.286190476,6.281428571,6.286190476,4.514372822,27.98736984,6.284127151
2012/1/6,6.435,6.445,6.435,6.445,2.420196194,15.9146585,6.438999048
2012/1/7,6.8,6.8,6.8,6.8,0.29585799,2.011834332,6.8
2012/1/8,6.95,6.95,6.95,6.95,2.5,17.3,6.95
2012/1/9,6.584166667,6.584166667,6.581666667,6.581666667,1.857481192,12.30679777,6.582769667
2012/1/10,6.603,6.603,6.603,6.603,2.076332673,13.77346948,6.603
2012/1/11,7.119583333,7.121875,7.119583333,7.121875,2.194977792,15.47940865,7.120684842
2012/1/12,7.0625,7.0625,7.0625,7.0625,6.858469318,49.83846925,7.0625
2012/1/13,6.96875,6.9840625,6.940625,6.9603125,1.530317026,10.77929233,6.969236524
2012/1/14,6.42,6.42,6.41,6.41,1.6836,10.84868,6.414081198
2012/1/15,7.15,7.15,7.15,7.15,3.33986014,23.88,7.15
2012/1/16,6.714285714,6.714285714,6.714285714,6.714285714,1.807042253,12.39285714,6.714285714
2012/1/17,6.154166667,6.154166667,6.141666667,6.141666667,3.354750343,20.55857452,6.148346158
2012/1/18,6.239166667,6.246944444,6.236944444,6.244722222,3.706854698,22.80368339,6.240688439
2012/1/19,6.225714286,6.225714286,6.225714286,6.225714286,17.6225585,110.1586591,6.225714286
2012/1/20,6.835,6.835,6.835,6.835,9.582599863,64.72017392,6.835
2012/1/21,6.386,6.386,6.386,6.386,16.28277048,102.4525146,6.386
2012/1/22,6.485,6.485,6.485,6.485,10.15887913,62.6758259,6.485
2012/1/23,6.4075,6.4075,6.4075,6.4075,7.910052424,50.70698729,6.4075
2012/1/24,6.495555556,6.495555556,6.495555556,6.495555556,4.747013415,30.59087003,6.495555556
