Timestamp,Price
1990/12/19,96.05
1990/12/20,104.3
1990/12/21,109.07
1990/12/24,113.57
1990/12/25,120.09
1990/12/26,125.27
1990/12/27,125.27
1990/12/28,126.39
1990/12/31,126.56
1991/1/2,127.61
1991/1/3,128.84
1991/1/4,131.27
1991/1/7,131.99
1991/1/8,132.62
1991/1/9,133.3
1991/1/10,133.93
1991/1/11,134.61
1991/1/14,134.11
1991/1/15,134.21
1991/1/16,134.19
1991/1/17,133.67
1991/1/18,133.7
1991/1/21,133.7
1991/1/22,133.72
1991/1/23,133.17
1991/1/24,132.61
1991/1/25,132.05
1991/1/28,131.46
1991/1/29,130.95
1991/1/30,130.44
1991/1/31,129.93
1991/2/1,129.5
1991/2/4,129.05
1991/2/5,128.56
1991/2/6,129.13
1991/2/7,129.74
1991/2/8,130.36
1991/2/11,130.92
1991/2/12,131.54
1991/2/13,131.93
1991/2/14,132.53
1991/2/19,133.12
1991/2/20,133.63
1991/2/21,134.24
1991/2/22,134.85
1991/2/25,134.37
1991/2/26,133.9
1991/2/27,133.44
1991/2/28,132.99
1991/3/1,132.53
1991/3/4,132.09
1991/3/5,131.42
1991/3/6,130.89
1991/3/7,130.41
1991/3/8,129.84
1991/3/11,129.3
1991/3/12,128.73
1991/3/13,126.13
1991/3/14,125.61
1991/3/15,125.08
1991/3/18,124.7
1991/3/19,124.23
1991/3/20,123.66
1991/3/21,123.14
1991/3/22,122.62
1991/3/25,122.12
1991/3/26,121.62
1991/3/27,121.12
1991/3/28,120.65
1991/3/29,120.16
1991/4/1,120.69
1991/4/2,121.21
1991/4/3,121.71
1991/4/4,122.2
1991/4/5,121.07
1991/4/8,121.11
1991/4/9,120.6
1991/4/10,120.15
1991/4/11,119.64
1991/4/12,119.2
1991/4/15,118.73
1991/4/16,118.36
1991/4/17,117.92
1991/4/18,117.45
1991/4/19,117.08
1991/4/22,116.63
1991/4/23,116.21
1991/4/24,115.7
1991/4/25,115.38
1991/4/26,116.31
1991/4/29,114.86
1991/4/30,113.89
1991/5/2,113.04
1991/5/3,112.46
1991/5/6,111.65
1991/5/7,110.8
1991/5/8,110.16
1991/5/9,109.36
1991/5/10,108.61
1991/5/13,107.88
1991/5/14,107.21
1991/5/15,106.56
1991/5/16,105.83
1991/5/17,105.12
1991/5/20,107.76
1991/5/21,108.89
1991/5/22,109.71
1991/5/23,107.52
1991/5/24,110.07
1991/5/27,111.05
1991/5/28,111.61
1991/5/29,112.75
1991/5/30,113.74
1991/5/31,114.83
1991/6/3,115.9
1991/6/4,117.12
1991/6/5,118.17
1991/6/6,119.26
1991/6/7,120.46
1991/6/10,121.65
1991/6/11,122.89
1991/6/12,123.9
1991/6/13,125.33
1991/6/14,124.47
1991/6/17,125.63
1991/6/18,127.03
1991/6/19,128.12
1991/6/20,129.55
1991/6/21,130.72
1991/6/24,132.1
1991/6/25,133.48
1991/6/26,134.83
1991/6/27,136.04
1991/6/28,137.41
1991/7/1,136.64
1991/7/2,135.91
1991/7/3,135.28
1991/7/4,136.63
1991/7/5,136.01
1991/7/8,135.26
1991/7/9,136.56
1991/7/10,134.4
1991/7/11,133.22
1991/7/12,132.8
1991/7/15,133.9
1991/7/16,134.39
1991/7/17,135.81
1991/7/18,137.17
1991/7/19,137.66
1991/7/22,138.07
1991/7/23,139.35
1991/7/24,140.66
1991/7/25,140.2
1991/7/26,140.11
1991/7/29,141.22
1991/7/30,142.39
1991/7/31,143.72
1991/8/1,145.12
1991/8/2,146.49
1991/8/5,148.06
1991/8/6,149.62
1991/8/7,150.93
1991/8/8,152.57
1991/8/9,153.9
1991/8/12,155.34
1991/8/13,156.87
1991/8/14,158.3
1991/8/15,159.92
1991/8/16,161.56
1991/8/19,163.21
1991/8/20,164.74
1991/8/21,166.49
1991/8/22,167.81
1991/8/23,169.81
1991/8/26,171.51
1991/8/27,173.06
1991/8/28,174.82
1991/8/29,176.53
1991/8/30,178.2
1991/9/2,180.08
1991/9/3,181.71
1991/9/4,183.66
1991/9/5,185.48
1991/9/6,187.09
1991/9/9,189.1
1991/9/10,190.98
1991/9/11,187.29
1991/9/12,186.22
1991/9/13,188
1991/9/16,189.55
1991/9/17,191.16
1991/9/18,187.26
1991/9/19,187.65
1991/9/20,185.77
1991/9/23,185
1991/9/24,183.96
1991/9/25,182.8
1991/9/26,182.21
1991/9/27,183.12
1991/9/30,180.28
1991/10/3,181.55
1991/10/4,184.29
1991/10/7,185.95
1991/10/8,187.59
1991/10/9,188.49
1991/10/10,190.71
1991/10/11,192.84
1991/10/14,194.06
1991/10/15,196.58
1991/10/16,198.51
1991/10/17,200.5
1991/10/18,202.5
1991/10/21,204.53
1991/10/22,206.06
1991/10/23,208.06
1991/10/24,210.2
1991/10/25,210.34
1991/10/28,213.5
1991/10/29,215.63
1991/10/30,216.37
1991/10/31,218.59
1991/11/1,220.71
1991/11/4,222.77
1991/11/5,224.44
1991/11/6,226.83
1991/11/7,228.93
1991/11/8,230.99
1991/11/11,233.48
1991/11/12,235.75
1991/11/13,236.51
1991/11/14,237.39
1991/11/15,238.25
1991/11/18,240.04
1991/11/19,242.24
1991/11/20,244.5
1991/11/21,246.26
1991/11/22,248.24
1991/11/25,250.84
1991/11/26,252.9
1991/11/27,255.27
1991/11/28,257.28
1991/11/29,259.68
1991/12/2,261.78
1991/12/3,264.64
1991/12/4,265.53
1991/12/5,266.48
1991/12/6,269.34
1991/12/9,270.27
1991/12/10,270.27
1991/12/11,273.53
1991/12/12,274.41
1991/12/13,276.81
1991/12/16,277.53
1991/12/17,278.67
1991/12/18,279.32
1991/12/19,279.98
1991/12/20,282.83
1991/12/23,285.65
1991/12/24,285.74
1991/12/25,287.09
1991/12/26,288.03
1991/12/27,290.65
1991/12/30,291.71
1991/12/31,292.48
1992/1/2,293.74
1992/1/3,296.24
1992/1/6,297.68
1992/1/7,298.54
1992/1/8,299.65
1992/1/9,300.61
1992/1/10,301.82
1992/1/13,302.83
1992/1/14,304.77
1992/1/15,306.62
1992/1/16,306.85
1992/1/17,307.37
1992/1/20,307.38
1992/1/21,307.87
1992/1/22,307.95
1992/1/23,308.53
1992/1/24,309.05
1992/1/27,311.6
1992/1/28,311.67
1992/1/29,312.41
1992/1/30,312.73
1992/1/31,313.24
1992/2/3,314.18
1992/2/7,314.72
1992/2/10,315.55
1992/2/11,316.12
1992/2/12,316.43
1992/2/13,317.24
1992/2/14,319.45
1992/2/17,319.77
1992/2/18,338.98
1992/2/19,340.5
1992/2/20,345.22
1992/2/21,358.91
1992/2/24,361.11
1992/2/25,359.66
1992/2/26,359.85
1992/2/27,361
1992/2/28,364.15
1992/3/2,365.15
1992/3/3,366.79
1992/3/4,367.56
1992/3/5,369.31
1992/3/6,370.79
1992/3/9,372.26
1992/3/10,374.48
1992/3/11,375.87
1992/3/12,377.55
1992/3/13,376.58
1992/3/16,377
1992/3/17,377.5
1992/3/18,377.94
1992/3/19,377.26
1992/3/20,377.91
1992/3/23,378.61
1992/3/24,378.53
1992/3/25,378.33
1992/3/26,379.29
1992/3/27,379.65
1992/3/30,381.54
1992/3/31,381.87
1992/4/1,381.55
1992/4/2,381.47
1992/4/3,381.44
1992/4/6,381.97
1992/4/7,381.95
1992/4/8,382.53
